ts,source,symbol,side,rsi_value,change_24h,oracle_type,btc_bias,entry_price,f_strength,f_chase,f_regime,confirm_would_fire,confluence_count,repeat_n,adx_value,adx_regime,btc_adx_regime,decision
2026-06-15T06:37:29.595609-05:00,rsi_extreme,ZRO-USDT,sell,90.6,24.35,,,1.16,True,False,,,,3,54.8,trending_strong,bull_indecisive,repeat_alert
2026-06-15T17:20:51.619826-05:00,rsi_extreme,XRP-USDT,sell,90.5,12.98,,,1.249,True,False,,,,1,60.6,trending_strong,bull_trending_moderate,enter
2026-06-15T17:20:57.002624-05:00,rsi_extreme,XLM-USDT,sell,90.3,24.31,,,0.217,True,False,,,,1,56.6,trending_strong,bull_trending_moderate,enter
2026-06-15T17:21:01.550540-05:00,rsi_extreme,ETH-USDT,sell,90.8,10.9,,,1807.61,True,True,,,,1,54.9,trending_strong,bull_trending_moderate,enter
2026-06-15T17:21:04.383478-05:00,rsi_extreme,ZRO-USDT,sell,91.4,29.34,,,1.19,True,False,,,,4,53.3,trending_strong,bull_trending_moderate,repeat_alert
2026-06-15T22:00:59.592118-05:00,oraclealgo,BTC-USDT,sell,,,,htf_bull,65668.8,,,,,1,,,,bull_trending_moderate,counter_bias
2026-06-16T12:52:06.174201-05:00,rsi_extreme,SENT-USDT,sell,90.2,33.46,,bear,0.0203,True,False,True,,,1,54.1,trending_strong,bull_trending_moderate,enter
2026-06-16T14:53:33.859348-05:00,rsi_extreme,SENT-USDT,sell,91.5,40.23,,bear,0.0209,True,False,True,,,2,58.8,trending_strong,bull_trending_moderate,repeat_alert
2026-06-17T05:13:49.743607-05:00,oraclealgo,BTC-USDT,sell,,,MSS,stale-bear,64863.1,,,,,1,,,,bull_indecisive,no_bias
2026-06-17T10:01:05.899875-05:00,rsi_extreme,TAC-USDT,sell,96.5,41.66,,,0.0225,True,False,,,,1,,,bull_indecisive,enter
2026-06-17T12:00:40.446456-05:00,oraclealgo,BTC-USDT,buy,,,,stale-bear,65840.5,,,,,1,,,,bull_indecisive,no_bias
2026-06-17T12:29:19.420875-05:00,rsi_extreme,MITO-USDT,sell,90.3,34.81,,,0.0291,True,False,,,,1,48.5,trending_strong,bull_indecisive,enter
2026-06-17T15:01:29.030165-05:00,oraclealgo,BTC-USDT,sell,,,,stale-bear,64233.5,,,,,1,,,,bull_indecisive,no_bias
2026-06-17T15:01:29.582543-05:00,oraclealgo,BTC-USDT,sell,,,BOS,stale-bear,64225.5,,,,,2,,,,bull_indecisive,no_bias
2026-06-18T00:00:32.581704-05:00,oraclealgo,BTC-USDT,sell,,,BOS,stale-bear,63850.5,,,,,1,,,,bull_ranging_calm,no_bias
2026-06-18T11:01:18.279677-05:00,oraclealgo,BTC-USDT,sell,,,BOS,stale-bear,62507.2,,,,,1,,,,bull_ranging_calm,no_bias
2026-06-19T02:51:05.335103-05:00,rsi_extreme,HEI-USDT,sell,90.2,64.29,,,0.1381,True,False,,,,1,55.7,trending_strong,bear_ranging_calm,enter
2026-06-19T23:59:05.501203-05:00,rsi_extreme,AXS-USDT,sell,90.0,24.39,,,1.16,True,False,,,,1,49.6,trending_strong,bear_ranging_calm,enter
2026-06-20T01:00:10.368128-05:00,oraclealgo,BTC-USDT,buy,,,,stale-bear,63640.8,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-20T05:57:54.421785-05:00,rsi_extreme,BEL-USDT,sell,90.0,64.8,,,0.1814,True,False,,,,1,47.5,trending_strong,bear_ranging_calm,enter
2026-06-20T13:58:39.544622-05:00,rsi_extreme,MANA-USDT,sell,90.0,21.61,,,0.0809,True,False,,,,1,60.8,trending_strong,bear_ranging_calm,enter
2026-06-20T15:01:07.453246-05:00,oraclealgo,BTC-USDT,buy,,,BOS,stale-bear,63919.5,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-20T19:02:20.634146-05:00,rsi_extreme,RESOLV-USDT,sell,90.3,43.4,,,0.0211,True,False,,,,1,47.4,trending_strong,bear_ranging_calm,enter
2026-06-20T20:58:43.306509-05:00,rsi_extreme,HOME-USDT,buy,14.9,-19.2,,,0.0196,True,False,,,,1,37.3,trending_strong,bear_ranging_calm,enter
2026-06-20T23:00:51.914512-05:00,oraclealgo,BTC-USDT,buy,,,BOS,stale-bear,64388.6,,,,,1,,,,bear_ranging_calm,no_bias
2026-06-20T23:42:07.123654-05:00,rsi_extreme,BTR-USDT,sell,94.9,46.1,,,0.0266,True,False,,,,1,63.1,trending_strong,bear_ranging_calm,enter
2026-06-21T12:25:42.927632-05:00,rsi_extreme,STO-USDT,sell,90.8,32.09,,,0.0636,True,False,,,,1,28.3,trending_moderate,bull_ranging_calm,enter
2026-06-21T16:01:12.884232-05:00,oraclealgo,BTC-USDT,sell,,,MSS,stale-bear,63808.3,,,,,1,,,,bull_ranging_calm,no_bias
2026-06-21T17:00:49.986412-05:00,rsi_extreme,XAG-USDT,buy,14.0,-1.72,,,64.08,True,True,,,,1,,,bear_ranging_calm,enter
